edades,tecnologia,eficacia,convivencia
47,68.9718040844689,40.18718538515918,80.91502230988173
52,64.44765020752199,53.74724756190173,84.59975185957906
48,59.85727875636704,42.740699112577886,79.9420513912813
53,61.7754123920984,57.86306030495166,87.6875456418625
51,69.40828339701227,54.25547481983804,85.90294099453828
45,70.51082095119388,34.181742504638606,82.54828949254811
54,60.58336497117969,61.33875047561679,81.88373231074051
49,65.50961334853895,44.20179359746638,84.82370211450589
47,67.70502661196363,40.821593738858724,82.03227789200376
50,64.43329229251695,43.67263495141705,84.53333469037756
55,59.81475218732551,70.20288892240526,89.45067617130184
50,63.884759841367924,47.72560070058546,83.0888232246213
51,71.32361032057513,49.826685846467626,83.43332983106762
48,63.27830925646491,41.9116162262215,84.05082766381243
47,79.07675672141475,39.933978459523814,82.26681175058017
49,63.226268458791964,46.96272098627878,81.19862921061997
56,61.33612723019556,67.56735512064364,89.12070174178463
50,62.94318951227575,48.113325563549466,85.88270618753069
51,56.43897004256404,47.92413554237518,82.71324714160704
55,62.25357410642967,68.70852587151228,87.51741578608937
50,68.18584753421514,49.715893896470874,85.83838807395675
53,62.58411076560532,62.82323155734713,85.7804252944582
45,70.23632690860072,33.65284138630233,81.63697689144664
55,62.6797826284284,70.5061982987379,89.11078738837594
50,69.99866501043111,53.92436833781889,83.36669765939176
49,61.422639532084304,47.21662189827288,86.16999685663684
44,77.1778420217644,32.45927218707527,85.36453531714537
49,70.12873462189887,47.438493385708,81.21432187411808
52,62.41582416561627,50.24767455387288,84.91518743627745
50,72.81806479011273,46.98796022543212,85.80291765554522
54,58.97558176013706,67.99651225677198,87.233510330045
53,62.082719927938285,57.45534278155861,84.06333044554235
49,67.70902826148324,47.989200716563005,81.58054619922817
52,64.07385705158467,55.88993411297611,87.2213732214414
54,62.200778435184716,64.82436139188528,86.37530787679057
53,64.13443511947521,58.50393437314119,86.02061581814843
48,68.48138243076154,39.093892306331526,80.06454745161501
57,52.22353822692911,54.2194921172416,90.11943221951935
51,60.92385224417552,49.25527792791527,80.78179626752883
49,64.93307205801993,46.03692169797205,85.5155297049468
51,63.871827403036164,48.40888071903976,81.82222138846939
50,65.95549249160847,48.71919170943474,82.66643990769661
49,64.86543139955324,44.079806389258124,84.75348677636589
49,69.16953490709054,43.6740310381179,82.84076464777726
51,68.14671479248426,52.29632794135571,86.3943211290614
47,66.58590172899244,34.343809344171575,81.82809895886459
46,75.76857942690323,42.75912326137163,84.54758844807078
